module	T	B	N	F	fns
Imscribing/Millennium/NS_Mathematical_Witness	0	4	63	0	53
Imscribing/Millennium/NS_Resolution	0	4	51	0	44
Imscribing/Millennium/NS_Seige	0	4	51	0	44
Imscribing/Millennium/NS_Witness	0	4	67	0	56
Imscribing/Millennium/NS_ZFCt_Bridge	0	7	55	0	50
Imscribing/Millennium/OPN	0	4	71	0	59
Imscribing/Millennium/OPN_PsiGraph	0	6	59	0	52
Imscribing/Millennium/OPN_Witness	0	4	51	0	44
Imscribing/Millennium/OmegaCorrClosure	0	4	63	0	53
Imscribing/Millennium/OracleDelphi	0	6	73	0	63
Imscribing/Millennium/PMNSFullDerivation	0	4	71	0	59
Imscribing/Millennium/ParadoxBoot	0	5	65	0	56
Imscribing/Millennium/PerfectCuboid	1	33	194	0	183
Imscribing/Millennium/PerfectCuboid/Bootstrap	0	4	39	0	35
Imscribing/Millennium/PerfectCuboid/CaseC	0	4	43	0	38
Imscribing/Millennium/PerfectCuboid/CaseC_Attempt	0	4	39	0	35
Imscribing/Millennium/PerfectCuboid/DescentOperator	0	6	51	0	46
Imscribing/Millennium/PerfectCuboid/DescentTheorem	0	4	39	0	35
Imscribing/Millennium/PerfectCuboid/FactorizationLemma	0	4	63	0	53
Imscribing/Millennium/PerfectCuboid/PerfectCuboidWitness	0	4	67	0	56
Imscribing/Millennium/PerfectCuboid/PrerequisiteLemmasL5_L7	0	4	55	0	47
Imscribing/Millennium/Pkg	0	6	81	0	69
Imscribing/Millennium/PrimitiveBridge	0	31	167	0	161
Imscribing/Millennium/PrimitiveConventionalBridge	0	12	167	0	144
Imscribing/Millennium/PrimordialOoze	0	4	47	0	41
Imscribing/Millennium/ProofModules/DistinctDistances	0	4	43	0	38
Imscribing/Millennium/ProofModules/ErdosFuchs	0	4	39	0	35
Imscribing/Millennium/ProofModules/FurstenbergCorrespondence	0	4	43	0	38
Imscribing/Millennium/ProofModules/FurstenbergSarkozy	0	4	39	0	35
Imscribing/Millennium/ProofModules/HopfPannwitz	0	5	56	0	49
Imscribing/Millennium/ProofModules/HypergraphRamsey	0	4	39	0	35
Imscribing/Millennium/ProofModules/LCMSieve	0	7	74	0	65
Imscribing/Millennium/ProofModules/RamseyGap	0	4	43	0	38
Imscribing/Millennium/ProofModules/RamseyLimit	0	4	51	0	44
Imscribing/Millennium/ProofModules/SumFreeSets	0	6	86	0	73
Imscribing/Millennium/ProofModules/SunflowerProofModule	0	4	39	0	35
Imscribing/Millennium/ProofModules/TrianglePartition	0	4	39	0	35
Imscribing/Millennium/ProofModules/VerifiedConjectures	0	84	237	0	231
Imscribing/Millennium/ProtonElectronMass	0	4	75	0	62
Imscribing/Millennium/PvsNP	0	7	94	0	81
Imscribing/Millennium/PvsNP_Certificates	0	4	47	0	41
Imscribing/Millennium/PvsNP_Structural	0	4	63	0	53
Imscribing/Millennium/PvsNP_Witness	0	4	63	0	53
Imscribing/Millennium/QGUnifiedBridge	0	7	64	0	57
Imscribing/Millennium/RH	0	4	47	0	41
Imscribing/Millennium/RH_GateInhabitants	0	7	75	0	65
Imscribing/Millennium/RH_LeeYang_Bridge	0	4	47	0	41
Imscribing/Millennium/RH_Mathematical_Witness	0	4	63	0	53
Imscribing/Millennium/RH_Witness	0	4	63	0	53
