module	T	B	N	F	fns
Millennium/OPN_PsiGraph.olean	153	12141	46379	1	47886
Millennium/OPN_Witness.olean	10	672	1095	0	1063
Millennium/OmegaCorrClosure.olean	32	915	1688	1	1578
Millennium/OracleDelphi.olean	7	3889	2007	0	2957
Millennium/PMNSFullDerivation.olean	53	2171	5047	0	4958
Millennium/ParadoxBoot.olean	1	1478	1032	0	1618
Millennium/PerfectCuboid.olean	530	17034	103863	6	91356
Millennium/PerfectCuboid/Bootstrap.olean	47	955	2435	0	2198
Millennium/PerfectCuboid/CaseC.olean	102	1992	5607	4	4156
Millennium/PerfectCuboid/CaseC_Attempt.olean	65	4350	15019	1	5013
Millennium/PerfectCuboid/DescentOperator.olean	4	6383	4347	0	5726
Millennium/PerfectCuboid/DescentTheorem.olean	163	3282	13195	4	8931
Millennium/PerfectCuboid/FactorizationLemma.olean	103	1681	5355	1	4328
Millennium/PerfectCuboid/PerfectCuboidWitness.olean	45	1087	3000	1	2392
Millennium/PerfectCuboid/PrerequisiteLemmasL5_L7.olean	23	1849	6141	0	2466
Millennium/Pkg.olean	319	7909	49379	2	14680
Millennium/PrimitiveBridge.olean	80	5394	26774	0	26985
Millennium/PrimitiveConventionalBridge.olean	83	2565	6868	0	6360
Millennium/PrimordialOoze.olean	52	1030	2470	0	2165
Millennium/ProofModules/DistinctDistances.olean	31	1824	4490	1	4434
Millennium/ProofModules/ErdosFuchs.olean	77	8196	10702	3	5675
Millennium/ProofModules/FurstenbergCorrespondence.olean	50	1413	4236	1	3898
Millennium/ProofModules/FurstenbergSarkozy.olean	14	2629	4848	0	4725
Millennium/ProofModules/HopfPannwitz.olean	34	1229	4154	0	2253
Millennium/ProofModules/HypergraphRamsey.olean	38	1567	2366	1	2358
Millennium/ProofModules/LCMSieve.olean	93	4394	28910	2	26449
Millennium/ProofModules/RamseyGap.olean	37	1283	1396	0	1678
Millennium/ProofModules/RamseyLimit.olean	57	1698	8809	2	6060
Millennium/ProofModules/SumFreeSets.olean	117	3465	18692	1	16646
Millennium/ProofModules/SunflowerProofModule.olean	132	2380	7626	0	6172
Millennium/ProofModules/TrianglePartition.olean	26	5298	4518	0	5984
Millennium/ProofModules/VerifiedConjectures.olean	121	1745	6237	3	5649
Millennium/ProtonElectronMass.olean	13	1026	4680	0	4768
Millennium/PvsNP.olean	28	1905	3644	0	3585
Millennium/PvsNP_Certificates.olean	14	937	2798	0	3118
